dba_name,community_areas,census_tracts,no_of_violations,crime_count
#1 chop suey,32.2,375.3,5.3,12.8
#1 wok n roll,8.0,500.0,4.0,3.0
'c' a catering and event company,15.0,26.0,4.0,10.166666666666666
"1,200 sq.ft. - yemen restaurant, inc.",16.0,362.0,6.0,7.833333333333333
10 pin  bowling lounge,37.0,669.0,5.166666666666667,26.333333333333332
1000 liquors big city tap,57.0,710.0,4.6,16.4
11 degrees north,57.0,731.0,4.5,16.0
11 dining,38.0,92.0,1.0,23.0
"11 dining,  llc",38.0,92.0,6.666666666666667,33.333333333333336
"11 dining, llc",31.25,267.5,5.25,23.25
11 dinning,37.0,626.0,3.0,26.0
111 mexican grill,30.0,761.0,5.0,28.666666666666668
111th street otb,47.0,601.0,7.333333333333333,6.333333333333333
1155 cafeteria,9.0,427.0,1.3333333333333333,10.333333333333334
1250 south llc,34.0,374.0,1.0,6.0
13 pins tapas grill,16.0,269.0,7.0,14.0
14 parish,34.0,193.0,8.333333333333334,5.666666666666667
1492 cuban fusion inc,25.0,288.0,4.5,24.5
15 20 lounge,58.0,3.0,9.0,5.0
1555 club,37.0,108.0,3.0,14.0
175 sopraffina market caffe llc,38.0,92.0,2.5,23.125
19 paul,74.0,378.0,4.5,5.5
1914 club,57.0,691.0,2.0,15.0
1st chop suey,53.0,607.0,6.666666666666667,7.333333333333333
"1st hunan spring, inc",12.0,746.0,6.5,2.5
2 asian brothers,13.0,167.0,8.0,2.2857142857142856
2 sparrows,68.0,18.0,8.0,12.0
20 east,37.0,104.0,7.666666666666667,32.666666666666664
2002 donuts inc,57.0,731.0,5.0,15.0
2015 see thru chinese kitchen,40.0,11.0,4.0,9.0
"24 hrs gyros sub inc.,",39.0,152.0,4.571428571428571,24.857142857142858
24 karrots,23.0,178.0,5.333333333333333,18.333333333333332
25 degrees,37.0,670.0,7.2,31.8
26th street sugar shack,58.0,59.0,4.0,3.0
2960 beverage corporation,57.0,103.0,7.0,15.0
3 abejas,36.25,376.0,4.75,12.25
3 greens market,37.0,652.0,4.75,32.0
3 jjj better taste jamaican jerk restaurant,45.0,236.0,10.666666666666666,22.0
312 chicago,38.0,92.0,3.6666666666666665,25.833333333333332
35th street redhots,58.0,223.0,6.333333333333333,6.0
360 chicago,37.0,233.0,2.5,30.0
3639 llc,57.0,727.0,2.5,19.0
3811 piramid inc,46.0,613.0,8.833333333333334,4.166666666666667
3gs bbq restaurant,39.0,188.0,24.0,22.0
4 hermanos,11.0,128.0,5.0,4.4
4 hermanos too,12.0,781.0,6.0,1.6666666666666667
4 suyos,23.0,294.0,5.0,13.0
"4 yolks,inc.",18.0,136.0,4.333333333333333,1.6666666666666667
42 grams,31.0,241.0,1.25,8.5
42 n latitude,6.0,667.0,8.0,8.0
437 rush,37.0,626.0,5.0,25.0
5 boroughs pizza company,37.0,290.0,4.0,26.0
5 boroughs pizza subs,37.0,290.0,7.0,30.0
"5 rabanitos, inc",33.0,343.0,2.5,6.0
5 star chicken fish,70.0,487.0,6.0,28.0
5077 kiko meat market,6.0,28.0,6.75,7.75
540 cafe,29.0,784.0,5.4,25.0
5411 empanadas,45.35294117647059,566.7647058823529,5.0588235294117645,20.470588235294116
57 rib house,72.0,593.0,4.2,7.8
6 degrees,23.0,179.0,6.0,12.5
6 five chinese restaurant,38.0,92.0,6.5,35.5
600 michigan,38.0,368.0,4.0,19.0
623 wabash,38.0,368.0,11.0,19.0
63 bar grill,76.0,212.0,11.6,7.8
63rd and drexel mobil,9.0,470.0,2.0,7.0
65 asian kitchken,38.0,92.0,5.0,17.0
65 express,38.0,92.0,21.0,27.0
694 wine spirits,25.0,522.0,3.0,14.0
6978 soul food,26.0,598.0,9.25,46.25
7 days restaurant,72.0,631.0,4.0,13.0
7 eleven #36793 a,31.0,577.0,7.25,10.25
7 lions bar and cellar,38.0,367.0,9.25,27.25
7 plates cafe,68.0,798.0,9.5,16.5
7-eleven,31.0,240.25,3.75,23.375
7-eleven #337288,37.0,652.0,4.0,27.0
7-eleven #33908a,37.0,626.0,8.8,25.0
7-eleven #36061 h,14.0,117.0,8.0,8.0
7-eleven #36718a,22.0,138.0,3.0,7.0
71 chop suey,67.0,480.0,6.0,22.0
79th street barbeque,40.0,1.0,1.0,13.0
79th street fish chicken,70.0,575.0,9.0,18.0
7th floor sky lobby,8.0,154.0,3.0,1.0
87th fish corp.,40.0,140.0,5.5,12.0
9 muses bar grill,29.0,786.0,5.5,22.666666666666668
90 miles cuban cafe,23.0,294.0,8.6,16.0
"90 miles cuban cafe, inc.",46.0,110.0,4.333333333333333,4.5
a baker tale,25.0,476.0,2.0,17.0
a bite of szechuan,20.0,15.0,8.0,9.0
a boy named judah llc,29.0,784.0,1.5,17.5
a c fast food,26.0,600.0,11.333333333333334,40.0
a just harvest,10.0,340.0,4.5,10.875
a new leaf,68.0,271.0,3.0,13.0
a p deli,39.0,420.0,4.666666666666667,24.5
a plate on southport,57.0,679.0,2.75,16.5
a restaurant  pancake house,15.0,131.0,3.7142857142857144,8.571428571428571
"a sweet spot, inc.",14.0,750.0,3.0,6.0
a taste of heaven,76.0,540.0,7.333333333333333,8.833333333333334
a tavola,25.0,476.0,5.0,18.6
a v anthony,62.0,232.0,2.6,3.6
a&t pancake house,10.0,49.0,6.142857142857143,9.142857142857142
a-mi-tha restaurant,36.0,656.0,7.0,4.0
a. j. hudson public house,57.0,724.0,9.6,13.0
a. p. deli grill viii,69.0,243.0,6.0,6.285714285714286
a.p. deli inc. xi,26.0,68.0,6.2,43.2
"a.p. deli restaurant group, inc.",45.0,236.0,11.6,15.6
a10,8.0,500.0,8.8,4.6
abbey pub,16.0,325.0,7.5,5.5
abhiruchi,20.0,31.0,5.0,11.0
abn amro svcs - main bank,38.0,92.0,2.3333333333333335,21.666666666666668
abou andre llc,38.0,367.0,5.0,28.0
abram gale,18.0,136.0,3.75,2.75
abs supplies catering,24.0,286.0,5.0,20.0
absinthe cafe,25.0,438.0,4.333333333333333,20.666666666666668
abyssinia restaurant food market,76.0,539.0,3.0,5.0
acadia restaurant,34.0,374.0,2.2,6.2
acanto,38.0,367.0,3.1666666666666665,26.333333333333332
acapulco alegre,19.0,80.0,7.0,13.0
ace bounce,38.0,92.0,5.5,26.5
ace coffee bar,32.0,124.0,6.0,13.0
ace coffee bar inc.,4.0,449.0,5.0,6.833333333333333
"ace coffee bar, inc.",54.0,563.0,3.4,3.6
ace hotel chicago,29.0,63.0,8.0,34.0
ace icre wood street,29.0,5.0,2.6,24.2
acme hotel company/the berkshire,37.0,626.0,3.8,23.0
acre/ombra,76.0,564.0,9.0,6.333333333333333
ada street,25.0,109.0,4.5,27.5
adobe gila,37.0,108.0,6.0,32.0
adobo grill,52.5,280.5,3.25,16.75
adriatic,76.0,540.0,6.0,6.666666666666667
advocate illinois masonic medical center,57.0,681.0,2.25,14.0
afc sushi @ cafe 300,37.0,670.0,1.6666666666666667,25.0
afc sushi @ dominick # 12,76.0,213.0,1.0,6.0
afc sushi @ dominick # 1875,29.0,784.0,1.0,26.0
afc sushi @ dominick #1147,29.0,97.0,1.0,34.0
afc sushi @ dominick 2889,6.0,29.0,0.0,5.0
afc sushi @ dominick 2890,76.0,93.0,0.5,9.5
afc sushi @ dominicks # 2984,20.0,320.0,3.0,14.0
afc sushi @ dominicks 1100,56.0,192.0,1.0,4.0
afc sushi @ jewel osco #2500,29.0,97.0,0.8571428571428571,24.0
afc sushi @ jewel osco #2508,10.0,489.0,0.2857142857142857,9.142857142857142
afc sushi @ jewel osco #3224,17.0,442.0,4.666666666666667,3.0
afc sushi @ jewel osco#2502,68.0,743.0,3.3333333333333335,11.333333333333334
